names,timestamp,robbery,rashdriving,violence,kidnapping,murder,latitude,longitude
Shriram Sameeksha bangalore,05-03-2020 20:00,0,1,0,0,0,12.7101547,74.9018131
Sobha Chrysanthemum bangalore,28-02-2020 15:50,0,1,0,0,0,12.7101547,72.9091436
Fortuna Krrish bangalore,28-02-2020 13:30,0,0,0,1,0,12.7101547,72.9091436
CLPD Suncity Apartments bangalore,28-02-2020 19:00,0,0,1,0,0,12.7101547,72.9091436
Legacy Calista bangalore,01-03-2020 00:55,0,1,0,0,0,12.7304474,72.9091436
Vasathi Avante bangalore,05-03-2020 06:15,0,1,0,0,0,12.7304474,77.441715
Purva Venezia bangalore,05-03-2020 18:45,1,0,0,0,0,12.7304474,77.441715
Raynal Gardens bangalore,28-02-2020 12:00,1,0,0,0,0,12.7304474,77.441715
Zed Earth bangalore,01-03-2020 18:25,0,0,1,0,0,12.7379428,77.445078
Adithya Tranquil bangalore,03-03-2020 14:00,0,0,1,0,0,12.7379428,77.445078
Maysons Udbhava bangalore,28-02-2020 01:00,0,0,1,0,0,12.7379428,77.445078
Gravity Sundridge bangalore,03-03-2020 23:10,0,1,0,0,0,12.7379428,77.445078
The Central Regency Address bangalore,04-03-2020 18:30,0,0,1,0,0,12.7384134,77.4458392
DSMAX SAVERA bangalore,04-03-2020 20:00,0,0,1,0,0,12.7384134,77.4458392
Bijith Kripa bangalore,07-03-2020 20:40,1,0,0,0,0,12.7384134,77.4501207
Shriram Blue bangalore,07-03-2020 17:00,0,0,1,0,0,12.7384134,77.4501207
Mahaveer Zephyr bangalore,28-02-2020 13:30,0,0,0,1,0,12.7401871,77.4501207
AR Splendor Park bangalore,01-03-2020 17:20,0,1,0,0,0,12.7401871,77.4501207
Sobha Habitech bangalore,28-02-2020 19:25,0,0,1,0,0,12.7401871,77.4537078
Chamundi Amber Woods bangalore,28-02-2020 19:50,0,0,1,0,0,12.7401871,77.4537078
Upkar Oakland bangalore,06-03-2020 17:25,0,0,1,0,0,12.7401871,77.4537078
MS Royal Sunnyvale bangalore,01-03-2020 15:20,0,0,0,1,0,12.7401871,77.4537078
NCN Crystal bangalore,07-03-2020 16:15,0,0,1,0,0,12.7401871,77.4537078
Manifest Elite bangalore,01-03-2020 22:30,1,0,0,0,0,12.7401871,77.4537078
Shriram Chirping Woods Villament bangalore,05-03-2020 07:30,0,1,0,0,0,12.7425352,77.4705858
Orchid Whitefield bangalore,28-02-2020 19:45,1,0,0,0,0,12.7425352,77.4705858
Niranjan Genesis bangalore,28-02-2020 14:15,0,0,1,0,0,12.7425352,77.4705858
Gopalan Lake Front bangalore,01-03-2020 16:05,0,0,0,1,0,12.7425352,77.4705858
Saranya Soham bangalore,01-03-2020 22:20,0,0,1,0,0,12.7445533,77.4716101
DSMAX SAVERA bangalore,04-03-2020 17:00,0,0,0,0,1,12.7445533,77.4716101
Assetz Marq bangalore,07-03-2020 18:00,0,0,1,0,0,12.7445533,77.4716101
Shriram Blue bangalore,05-03-2020 22:00,0,0,0,0,1,12.7481938,77.4716101
Trillium Apartment bangalore,07-03-2020 13:35,0,0,0,1,0,12.7481938,77.4722966
SNN Raj Lakeview bangalore,01-03-2020 15:20,0,0,1,0,0,12.7481938,77.4722966
Prestige Lakeside Habitat bangalore,28-02-2020 00:00,1,0,0,0,0,12.7481938,77.4722966
Purva Whitehall bangalore,01-03-2020 15:30,0,0,0,1,0,12.753406,77.4766588
Skanda Nirvana bangalore,28-02-2020 19:30,0,1,0,0,0,12.753406,77.4766588
LGCL Happy Days bangalore,28-02-2020 03:30,0,0,1,0,0,12.753406,77.4766588
Yuva Eka bangalore,05-03-2020 10:00,0,1,0,0,0,12.753406,77.4766588
Sowparnika Flamenco bangalore,03-03-2020 19:45,1,0,0,0,0,12.756369,77.4780692
Elegant Pride bangalore,01-03-2020 15:20,1,0,0,0,0,12.756369,77.4780692
Brigade Buena Vista Phase II bangalore,01-03-2020 17:30,0,1,0,0,0,12.756369,77.4780692
Niranjan Genesis bangalore,03-03-2020 16:00,1,0,0,0,0,12.756369,77.4780692
Axis Vedam bangalore,05-03-2020 18:15,0,0,1,0,0,12.7579595,77.4790222
Aban Desire bangalore,28-02-2020 17:00,0,0,0,1,0,12.7579595,77.4790222
Anand Somu Pristine bangalore,28-02-2020 20:30,0,0,1,0,0,12.7579595,77.4790222
Century Central bangalore,05-03-2020 07:30,0,1,0,0,0,12.7579595,77.481328
